product,license number,ecolabel,category,product group,criteria generation,brand,licensee,address,city,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
"Landora Väggfärg 07 Oceanblå 2,5 L","SE/044/006, SE/044/006",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Landora,Hagmans Nordic AB (Fritsla),Box 112,Fritsla,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,38
"Flügger Interior Strong Finish 20 base 1, 0,7 l","3096 0032, SE/044/002","Nordic Swan Ecolabel, EU Ecolabel",Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,39
"Beckers Mood Air Wall, bas A, 0,9 L",FI/044/001,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,40
PP Super Acryl Kitchen & Bath 20 Base 4,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,PP,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,41
Yunik Grundfärg trä,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Yunik,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,42
Dansk Premium Vægmaling Base C,5096 0061,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,,Nowocoat Industrial A/S,Stålvej 3,Kolding,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,43
"Nordic Chic Furniture Paint, Mum's Lipstick, 750ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,44
"Bleo Matte C, 10 l",DK/044/002,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Blēo,Beck & Jørgensen A/S,Rosenkæret 25,Søborg,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,45
Yunik Pro Wall Primer White,"3096 0024, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Yunik Pro,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,46
Flügger Wall Primer Pro White,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,47
Midun Väggfärg 5 Vit,"3096 0045, 3096 0007",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Midun,Hagmans Nordic AB (Fritsla),Box 112,Fritsla,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,48
"Flügger Flutex 20S Bas 5, 2,8 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,49
"BIORA AIR CEILING PURE WHITE, 9 L",4096 0020,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Teknos,Teknos Oy,Takkatie 3,Helsinki,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,50
Beckers Mood Smooth Wall White/Base A,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,51
"Flügger Flutex Pro 5 Base 3, 9,1 l (30845)","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,52
"Flügger Special Grund Bas 5, 2,8 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,53
"Bleo Semi Gloss Base C, 1 l",DK/044/002,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Blēo,Beck & Jørgensen A/S,Rosenkæret 25,Søborg,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,54
Flügger Flutex Pro 7 Base 4,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,55
"Clas Ohlson Väggfärg 7 Glacier Blue, 3 l","SE/044/007, SE/044/007",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Clas Ohlson,Clas Ohlson AB,Clas Ohlsons väg,INSJÖN,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,56
PP Roof & Base Black,"3096 0048, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,PP,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,57
"NordenPaint Freja Väggfärg, bas A, 2,82 l","SE/044/006, SE/044/006",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,NordenPaint,Hagmans Nordic AB (Fritsla),Box 112,Fritsla,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,58
