product_or_service,licence_number,group_name,code_type,code_value,product_or_service_name,decision,expiration_date,company_name,company_country,vat_number,extract_date,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
PRODUCT,FR/044/048,"Decorative paints, varnishes, and related products (2014 criteria)",,,Algo Meuble Mat  ALGO  marron praline 2L,2014/312/EU,2027-06-17,ALGO PAINT,France,FR74812243327,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,11
PRODUCT,IT/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Decor Paint_0,75 L_KK54-0,75L",2014/312/EU,2027-06-17,Kerakoll Spa,Italy,,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,12
PRODUCT,FR/044/011,"Decorative paints, varnishes, and related products (2014 criteria)",,,Lasure Protection Bois 4 ans  INVENTIV  Teck,2014/312/EU,2027-06-17,BLANCHON,France,FR11390112886,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,13
PRODUCT,PL/044/006,"Decorative paints, varnishes, and related products (2014 criteria)",EAN13,3276007518153,LUXENS Farba Plamoodporna DO KUCHNI I ŁAZIENKI matowa MIAMI 1,2014/312/EU,2027-06-17,Unicell International Sp. z o.o,Poland,5422503648,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,14
PRODUCT,FR/044/023,"Decorative paints, varnishes, and related products (2014 criteria)",,,VOPSEA ALBĂ LAVABILĂ OPACITATE MARE MATĂ LUXENS,2014/312/EU,2027-06-17,RENAULAC,France,FR35394144893,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,15
PRODUCT,FR/044/048,"Decorative paints, varnishes, and related products (2014 criteria)",,,Algo Façade Blanc Pur ALGO   meulière du phare des baleines 10L,2014/312/EU,2027-06-17,ALGO PAINT,France,FR74812243327,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,16
PRODUCT,FR/044/016,"Decorative paints, varnishes, and related products (2014 criteria)",,,"La Sélection Premium Satin TOLLENS bleu pastel 2,5L",2014/312/EU,2027-06-17,CROMOLOGY SERVICES,France,FR53592028294,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,17
PRODUCT,BE/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",,,PRODUITS : Finish Aqua Matt wall and ceiling paint  BASE :  Base TR = base transparente COLORANT : SF.JP = Jaune Pastel CONTENANT :  1L,2014/312/EU,2027-06-17,Ets GUILMIN SA,Belgium,BE0404.356.574,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,18
PRODUCT,FR/044/011,"Decorative paints, varnishes, and related products (2014 criteria)",,,Lasure XLT  SYNTILOR Chêne naturel,2014/312/EU,2027-06-17,BLANCHON,France,FR11390112886,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,19
PRODUCT,FR/044/020,"Decorative paints, varnishes, and related products (2014 criteria)",,,Sigmalys EVO CR Satin SIGMA  base SIT0 3L,2014/312/EU,2027-06-17,PPG AC France,France,FR56572093243,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,20
